horseid,breed,gender,fastq_id
M6933,STDB,F,M6933
M6934,STDB,M,M6934
M6935,STDB,F,M6935
M6936,STDB,M,M6936
M6937,STDB,F,M6937
M6938,STDB,M,M6938
M6939,STDB,F,M6939
M6940,STDB,F,M6940
M6941,STDB,F,M6941
M6942,STDB,M,M6942
M6943,STDB,M,M6943
M6944,STDB,M,M6944
M6945,STDB,M,M6945
M6946,STDB,M,M6946
M6947,STDB,M,M6947
M6948,STDB,M,M6948
M6949,STDB,M,M6949
M6950,STDB,M,M6950
M6951,STDB,F,M6951
M6952,STDB,M,M6952
M6954,STDB,F,M6954
M6955,STDB,M,M6955
M6956,STDB,M,M6956
M6957,STDB,F,M6957
M6958,STDB,M,M6958
M6959,STDB,F,M6959
M6960,STDB,F,M6960
M6961,STDB,M,M6961
M6962,STDB,M,M6962
M6963,STDB,M,M6963
M6964,STDB,F,M6964
M6965,STDB,F,M6965
M6966,STDB,F,M6966
M6967,STDB,F,M6967
M6968,STDB,M,M6968
M6969,STDB,M,M6969
M6970,STDB,M,M6970
M6971,STDB,M,M6971
M6972,STDB,F,M6972
M6973,STDB,M,M6973
M6974,STDB,F,M6974
M6975,STDB,F,M6975
M6976,STDB,M,M6976
M6977,STDB,F,M6977
M6978,STDB,M,M6978
M6979,STDB,F,M6979
M6980,STDB,M,M6980
M6981,STDB,F,M6981
M6982,STDB,M,M6982
M6983,STDB,M,M6983
M6984,STDB,M,M6984
M6985,STDB,M,M6985
M6986,STDB,F,M6986
M6987,STDB,M,M6987
M6988,STDB,M,M6988
M6989,STDB,M,M6989
M6990,STDB,F,M6990
M6991,STDB,M,M6991
M6992,STDB,M,M6992
M6993,STDB,F,M6993
M6994,STDB,M,M6994
M6995,STDB,F,M6995
M6996,STDB,M,M6996
M6997,STDB,M,M6997
M6998,STDB,M,M6998
M6999,STDB,F,M6999
M7000,STDB,M,M7000
M7001,STDB,F,M7001
M7002,STDB,M,M7002
M7003,STDB,M,M7003
M7004,STDB,F,M7004
M7005,STDB,F,M7005
M7006,STDB,M,M7006
M7007,STDB,F,M7007
M7008,STDB,M,M7008
M7009,STDB,M,M7009
M7010,STDB,M,M7010
M7011,STDB,F,M7011
M7012,STDB,F,M7012
M7013,STDB,F,M7013
M7866,STDB,M,M7866
M7867,STDB,M,M7867
M7868,STDB,F,M7868
M7869,STDB,M,M7869
M7870,STDB,M,M7870
M7871,STDB,M,M7871
M7872,STDB,M,M7872
M7874,STDB,M,M7874
M7875,STDB,M,M7875
M7876,STDB,M,M7876
M7877,STDB,M,M7877
M7878,STDB,M,M7878
M7879,STDB,M,M7879
M7880,STDB,F,M7880
M7881,STDB,M,M7881
M7882,STDB,M,M7882
M7883,STDB,F,M7883
M7884,STDB,F,M7884
M7885,STDB,F,M7885
M7886,STDB,M,M7886
M7887,STDB,M,M7887
M7888,STDB,M,M7888
M7889,STDB,F,M7889
M7890,STDB,M,M7890
M7891,STDB,M,M7891
M7892,STDB,F,M7892
M7893,STDB,F,M7893
M7894,STDB,M,M7894
M7895,STDB,F,M7895
M7896,STDB,M,M7896
M7897,STDB,M,M7897
M7898,STDB,M,M7898
M7899,STDB,F,M7899
M7900,STDB,M,M7900
M7901,STDB,F,M7901
M7902,STDB,M,M7902
M7903,STDB,M,M7903
M7905,STDB,M,M7905
M7906,STDB,F,M7906
M7907,STDB,F,M7907
M7908,STDB,M,M7908
M7909,STDB,F,M7909
M7910,STDB,M,M7910
M7911,STDB,M,M7911
M7912,STDB,F,M7912
M7913,STDB,F,M7913
M7914,STDB,M,M7914
M7915,STDB,M,M7915
M7916,STDB,M,M7916
M7917,STDB,F,M7917
M7919,STDB,F,M7919
M7920,STDB,M,M7920
M7921,STDB,F,M7921
M7923,STDB,M,M7923
M7924,STDB,M,M7924
M7925,STDB,F,M7925
M7926,STDB,F,M7926
M7927,STDB,M,M7927
M7928,STDB,F,M7928
M7929,STDB,F,M7929
M7930,STDB,M,M7930
M7931,STDB,F,M7931
M7932,STDB,M,M7932
M7933,STDB,M,M7933
M7934,STDB,M,M7934
M7935,STDB,F,M7935
M7936,STDB,F,M7936
M7937,STDB,F,M7937
M7938,STDB,M,M7938
M7939,STDB,M,M7939
M7940,STDB,M,M7940
M7941,STDB,F,M7941
M7942,STDB,F,M7942
M7943,STDB,M,M7943
M7944,STDB,F,M7944
M7945,STDB,M,M7945
M7946,STDB,M,M7946
M7947,STDB,F,M7947
M7948,STDB,M,M7948
M7949,STDB,F,M7949
M7950,STDB,M,M7950
M7951,STDB,F,M7951
